task_id,domain,k,selector_i,selector_j,jaccard,overlap_jaccard_plans,seed
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxmin,bnovelty,0.0,0.0,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxmin,maxsum_stability,0.05,0.047619047619047616,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bnovelty,bcoverage,0.1,0.1,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bnovelty,bmaxsum,0.1,0.1,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bnovelty,bmaxmin,0.0,0.0,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bnovelty,bnovelty,1.0,1.0,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bnovelty,maxsum_stability,0.10526315789473684,0.047619047619047616,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,maxsum_stability,bcoverage,0.56,0.1111111111111111,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,maxsum_stability,bmaxsum,0.3448275862068966,0.1111111111111111,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,maxsum_stability,bmaxmin,0.05,0.047619047619047616,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,maxsum_stability,bnovelty,0.10526315789473684,0.047619047619047616,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,maxsum_stability,maxsum_stability,1.0,1.0,2065366244
1.0-1000-classical-2004-psr-small-50,psr-small,20,bcoverage,bcoverage,1.0,1.0,241860376
1.0-1000-classical-2004-psr-small-50,psr-small,20,bcoverage,bmaxsum,0.7391304347826086,0.7391304347826086,241860376
